machine_id,name,machine_type,capabilities,hourly_rate_inr,max_regular_shifts_per_day,mtbf_hours,mttr_hours,status
CNC_LATHE_01,"CNC Lathe #1 (Small, 2-axis)",CNC_LATHE,FACING|THREADING|TURNING,550,2,720.0,6.0,AVAILABLE
CNC_LATHE_02,CNC Turn-Mill Center (Live Tooling),CNC_LATHE,BORING|DRILLING|FACING|MILLING|THREADING|TURNING,1100,2,650.0,8.0,AVAILABLE
CNC_VMC_01,3-Axis CNC VMC #1,CNC_VMC,DRILLING|MILLING|REAMING|TAPPING,800,2,700.0,5.0,AVAILABLE
CNC_VMC_02,3-Axis CNC VMC #2,CNC_VMC,DRILLING|MILLING|REAMING|TAPPING,800,2,700.0,5.0,AVAILABLE
CNC_VMC_03,3-Axis CNC VMC #3,CNC_VMC,DRILLING|MILLING|REAMING|TAPPING,800,2,700.0,5.0,AVAILABLE
CNC_HMC_01,Twin-Pallet CNC HMC,CNC_HMC,BORING|DRILLING|MILLING|TAPPING,1800,2,600.0,10.0,AVAILABLE
GRINDER_01,The Grinder (surface + cylindrical),GRINDER,CYLINDRICAL_GRINDING|SURFACE_GRINDING,750,2,480.0,12.0,AVAILABLE
CONV_LATHE_01,Heavy-Duty Conventional Lathe #1,CONV_LATHE,FACING|TURNING,300,2,900.0,4.0,AVAILABLE
CONV_LATHE_02,Heavy-Duty Conventional Lathe #2,CONV_LATHE,FACING|TURNING,300,2,900.0,4.0,AVAILABLE
RADIAL_DRILL_01,Heavy Radial Drilling Machine #1,RADIAL_DRILL,DRILLING|REAMING|TAPPING,250,2,950.0,3.0,AVAILABLE
RADIAL_DRILL_02,Heavy Radial Drilling Machine #2,RADIAL_DRILL,DRILLING|REAMING|TAPPING,250,2,950.0,3.0,AVAILABLE
MILLING_CONV_01,Universal Turret Milling Machine #1,MILLING_CONV,MILLING,280,2,850.0,4.0,AVAILABLE
MILLING_CONV_02,Universal Turret Milling Machine #2,MILLING_CONV,MILLING,280,2,850.0,4.0,AVAILABLE
CMM_01,Coordinate Measuring Machine,CMM_INSPECTION,INSPECTION,400,2,1200.0,3.0,AVAILABLE
