order_id,customer_id,part_name,part_number,part_family,quantity,release_date,due_date,material,priority,order_value_inr,status
ORD_001,CUST_001,Spindle Shaft,SPW-001,SHAFT,2919,2026-09-01,2026-09-11T12:00:00,MILD_STEEL,3,743774.77,PENDING
ORD_002,CUST_002,Gear Blank,SPW-002,HOUSING,408,2026-09-03,2026-09-12T12:00:00,EN8,2,104201.52,PENDING
ORD_003,CUST_003,Axle Housing Flange,SPW-003,FLANGE,1678,2026-09-01,2026-09-11T06:00:00,EN24,2,454458.48,PENDING
ORD_004,CUST_004,Clutch Hub,SPW-004,BUSH,2833,2026-09-02,2026-09-15T00:00:00,EN31,2,578144.82,PENDING
ORD_005,CUST_005,Piston Pin,SPW-005,BRACKET,1393,2026-09-03,2026-09-16T12:00:00,STAINLESS_STEEL_304,1,286975.74,PENDING
ORD_006,CUST_006,Transmission Shaft,SPW-006,GEAR,529,2026-09-01,2026-09-17T00:00:00,ALUMINIUM_6061,1,133257.63,PENDING
ORD_007,CUST_007,Bearing Sleeve,SPW-007,SHAFT,885,2026-09-02,2026-09-12T00:00:00,CAST_IRON,1,237576.45,PENDING
ORD_008,CUST_001,Brake Caliper Bracket,SPW-008,HOUSING,749,2026-09-01,2026-09-05T12:00:00,MILD_STEEL,3,173299.82,PENDING
ORD_009,CUST_002,Steering Knuckle,SPW-009,FLANGE,2499,2026-09-02,2026-09-09T00:00:00,EN8,2,693492.87,PENDING
ORD_010,CUST_003,Wheel Hub,SPW-010,BUSH,1114,2026-09-01,2026-09-09T00:00:00,EN24,2,243816.69,PENDING
ORD_011,CUST_004,Pinion Shaft,SPW-011,BRACKET,537,2026-09-01,2026-09-11T00:00:00,EN31,2,117353.67,PENDING
ORD_012,CUST_005,Idler Gear,SPW-012,GEAR,2033,2026-09-01,2026-09-11T12:00:00,STAINLESS_STEEL_304,1,523038.52,PENDING
ORD_013,CUST_006,Differential Housing,SPW-013,SHAFT,2568,2026-09-01,2026-09-11T00:00:00,ALUMINIUM_6061,1,371705.09,PENDING
ORD_014,CUST_007,Camshaft Bushing,SPW-014,HOUSING,2638,2026-09-03,2026-09-10T00:00:00,CAST_IRON,1,711845.72,PENDING
ORD_015,CUST_001,Rocker Arm,SPW-015,FLANGE,1689,2026-09-01,2026-09-08T00:00:00,MILD_STEEL,3,313438.16,PENDING
ORD_016,CUST_002,Tie Rod End,SPW-016,BUSH,2514,2026-09-01,2026-09-07T00:00:00,EN8,2,428753.62,PENDING
ORD_017,CUST_003,Suspension Bracket,SPW-017,BRACKET,2032,2026-09-03,2026-09-11T12:00:00,EN24,2,507826.77,PENDING
ORD_018,CUST_004,Fuel Rail Mount,SPW-018,GEAR,2475,2026-09-01,2026-09-07T12:00:00,EN31,2,485023.56,PENDING
ORD_019,CUST_005,Exhaust Flange,SPW-019,SHAFT,2017,2026-09-03,2026-09-06T06:00:00,STAINLESS_STEEL_304,1,520419.84,PENDING
ORD_020,CUST_006,Yoke Shaft,SPW-020,HOUSING,600,2026-09-03,2026-09-05T12:00:00,ALUMINIUM_6061,1,170821.75,PENDING
ORD_021,CUST_007,Pump Housing,SPW-021,FLANGE,2978,2026-09-03,2026-09-04T12:00:00,CAST_IRON,1,767211.08,PENDING
ORD_022,CUST_001,Valve Body,SPW-022,BUSH,1704,2026-09-01,2026-09-06T12:00:00,MILD_STEEL,3,429549.84,PENDING
ORD_023,CUST_002,Sprocket,SPW-023,BRACKET,2109,2026-09-03,2026-09-07T12:00:00,EN8,2,490974.59,PENDING
ORD_024,CUST_003,Coupling Flange,SPW-024,GEAR,463,2026-09-02,2026-09-05T12:00:00,EN24,2,133106.0,PENDING
ORD_025,CUST_004,Shaft Collar,SPW-025,SHAFT,401,2026-09-01,2026-09-06T06:00:00,EN31,2,118808.29,PENDING
